MPI BenchMarking, For Shared mode, (ptile=N):
p= 8, maxh= 356, maxn= 1012 r= 415.438 Mflop/s, g= 1.8, l= 6194.0
p= 8, maxh= 356, maxn= 1112 r= 251.805 Mflop/s, g= 0.1, l= 4066.0
p= 8, maxh= 356, maxn= 1212 r= 253.369 Mflop/s, g= 0.3, l= 3848.8
p= 8, maxh= 356, maxn= 1312 r= 249.798 Mflop/s, g= 1.0, l= 3922.7
p= 8, maxh= 356, maxn= 1412 r= 250.850 Mflop/s, g= 0.6, l= 3839.6
p= 8, maxh= 456, maxn= 512 r= 248.005 Mflop/s, g= 0.9, l= 3823.6
p= 8, maxh= 456, maxn= 612 r= 248.298 Mflop/s, g= 1.1, l= 3853.9
p= 8, maxh= 456, maxn= 712 r= 255.147 Mflop/s, g= 4.2, l= 3094.4
p= 8, maxh= 456, maxn= 812 r= 403.084 Mflop/s, g= -96.0, l= 239476.2
p= 8, maxh= 456, maxn= 912 r= 348.939 Mflop/s, g= -2349.6, l= 732273.8
p= 8, maxh= 456, maxn= 1012 r= 514.563 Mflop/s, g= 2.7, l= 7881.5
p= 8, maxh= 456, maxn= 1112 r= 507.950 Mflop/s, g= 2.3, l= 7679.1
p= 8, maxh= 456, maxn= 1212 r= 252.877 Mflop/s, g= 0.9, l= 3787.8
p= 8, maxh= 456, maxn= 1312 r= 503.686 Mflop/s, g= -0.5, l= 3231.5
p= 8, maxh= 456, maxn= 1412 r= 465.892 Mflop/s, g= -1.7, l= 4809.0
p= 8, maxh= 556, maxn= 512 r= 500.638 Mflop/s, g= 2.8, l= 7186.2
p= 8, maxh= 556, maxn= 612 r= 450.729 Mflop/s, g= -127.0, l= 53476.2
p= 8, maxh= 556, maxn= 712 r= 478.054 Mflop/s, g= 2.4, l= 7576.3
p= 8, maxh= 556, maxn= 812 r= 457.030 Mflop/s, g= -1.1, l= 4779.3
p= 8, maxh= 556, maxn= 912 r= 466.646 Mflop/s, g= -2.1, l= 5174.9
p= 8, maxh= 556, maxn= 1012 r= 479.701 Mflop/s, g= 0.1, l= 7635.3
p= 8, maxh= 556, maxn= 1112 r= 217.293 Mflop/s, g= -0.7, l= 2326.8
p= 8, maxh= 556, maxn= 1212 r= 510.101 Mflop/s, g= 2.5, l= 7068.8
p= 8, maxh= 556, maxn= 1312 r= 463.212 Mflop/s, g= -1.2, l= 4735.6
p= 8, maxh= 556, maxn= 1412 r= 502.195 Mflop/s, g= 13.3, l= 1267.7
p= 8, maxh= 656, maxn= 512 r= 463.186 Mflop/s, g= -0.7, l= 4648.8
p= 8, maxh= 656, maxn= 612 r= 249.646 Mflop/s, g= 1.0, l= 3693.8
p= 8, maxh= 656, maxn= 712 r= 255.656 Mflop/s, g= 1.2, l= 3896.8
p= 8, maxh= 656, maxn= 812 r= 448.208 Mflop/s, g= -0.5, l= 4458.0
p= 8, maxh= 656, maxn= 912 r= 249.000 Mflop/s, g= 1.2, l= 3891.6
p= 8, maxh= 656, maxn= 1012 r= 468.290 Mflop/s, g= 1.2, l= 4355.7
p= 8, maxh= 656, maxn= 1112 r= 251.606 Mflop/s, g= 0.8, l= 4034.1
